"","AA","AB","BA","BB"
"EV_absent",0.752978741826386,0.736156467301769,0.761265192633639,0.771165439022313
"EV_present",0.247021258173614,0.263843532698231,0.238734807366361,0.228834560977687
"SD_absent",0.0155783874877649,0.013285479701911,0.00998346744258369,0.00818137936327449
"SD_present",0.0155783874877649,0.013285479701911,0.00998346744258369,0.00818137936327448
"post.theta_absent",576.351913611287,809.351913611287,1387.35191361129,2032.35191361129
"post.theta_present",189.077283251984,290.077283251984,435.077283251984,603.077283251984
"opt.theta_absent",55.3519136112871,NA,NA,NA
"opt.theta_present",18.0772832519844,NA,NA,NA
"max.spread_absent",2.24380097016406,NA,NA,NA
"max.spread_present",2.24380097016407,NA,NA,NA
