"","0","1"
"EV_0",0.405995471566037,0.398911035652482
"EV_A",0.107485514477316,0.100410762781354
"EV_B",0.181516590972402,0.184062975350765
"EV_C",0.0609700406975916,0.0705466310241619
"EV_AB",0.0697021369459337,0.0723374566993437
"EV_AC",0.0149845453248281,0.00920143154489564
"EV_BC",0.0739023539036722,0.0730623235671957
"EV_ABC",0.0854433461122189,0.0914673833798025
"SD_0",0.00875261680811121,0.00885065754247202
"SD_A",0.0055203301136718,0.00543225805664569
"SD_B",0.00686982297671594,0.00700454086635023
"SD_C",0.00426462068763759,0.00462828481284103
"SD_AB",0.004538543484506,0.00468214395804642
"SD_AC",0.00216533826071203,0.0017257922687934
"SD_BC",0.00466272678639116,0.00470370570397935
"SD_ABC",0.00498226557460727,0.00521040549805957
"post.theta_0",1277.6688996658,1220.6688996658
"post.theta_A",338.257218688971,307.257218688971
"post.theta_B",571.233226233343,563.233226233343
"post.theta_C",191.872890872873,215.872890872873
"post.theta_AB",219.352822514377,221.352822514377
"post.theta_AC",47.1564066055139,28.1564066055139
"post.theta_BC",232.570917184377,223.570917184377
"post.theta_ABC",268.890452373447,279.890452373447
"opt.theta_0",35.668899665797,NA
"opt.theta_A",9.25721868897062,NA
"opt.theta_B",16.2332262333431,NA
"opt.theta_C",5.87289087287256,NA
"opt.theta_AB",6.35282251437693,NA
"opt.theta_AC",1.15640660551388,NA
"opt.theta_BC",6.57091718437745,NA
"opt.theta_ABC",7.89045237344655,NA
"max.spread_0",0.569141272649388,NA
"max.spread_A",0.913472339620975,NA
"max.spread_B",0.259540661930146,NA
"max.spread_C",1.52166621505123,NA
"max.spread_AB",0.404140480660939,NA
"max.spread_AC",2.0885632160885,NA
"max.spread_BC",0.126832807073806,NA
"max.spread_ABC",0.835614327318895,NA
